Lab Name,Sectors,Location,Institution,Latitude,Longitude
0.9 m Wind Tunnel,"Aerospace and satellites, Automotive, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
1.5 m Trisonic Wind Tunnel,"Aerospace and satellites, Defence and security industries, Manufacturing and processing","655 Levy Private, Ottawa, ON, K1V 2B1, Canada",National Research Council Canada,45.3284055,-75.6642921
2 m x 3 m Wind Tunnel,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Energy, Environmental technologies and related services, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
3 m x 6 m Icing Wind Tunnel,"Aerospace and satellites, Automotive, Defence and security industries, Environmental technologies and related services, Management and business related services, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
3D Earth Imaging and Modelling Lab,"Energy, Environmental technologies and related services, Mining, minerals and metals","601 Booth Street, Ottawa, ON, K1A 0E8, Canada",Natural Resources Canada,45.4019226,-75.7055699
7T Preclinical magnetic resonance imaging (MRI) Facility,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","2075 Bayview Ave., Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre,43.7217772,-79.3759788
9 m Wind Tunnel,"Aerospace and satellites, Automotive, Defence and security industries, Transportation","675 Levy Private, Ottawa, ON, K1V 2B1, Canada",National Research Council Canada,45.3290099,-75.66188
ACE – Climatic Wind Tunnel,"Aerospace and satellites, Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Defence and security industries, Energy, Environmental technologies and related services, Manufacturing and processing, Transportation, Utilities","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Acoustic Reverberation Chamber Research Facility,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Environmental technologies and related services, Manufacturing and processing, Mining, minerals and metals, Policy and governance, Transportation","1920 Research Private, Gloucester, ON, K1V 2B1, Canada",National Research Council Canada,45.3251844,-75.66593929999999
Additive Manufacturing Innovation Centre (AMIC),"Aerospace and satellites, Automotive, Defence and security industries, Manufacturing and processing, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering)","135 Fennell Avenue West, Hamilton, ON, L9C 1E9, Canada",Mohawk College of Applied Arts and Technology,43.2385189,-79.88672509999999
Advanced Biomaterials Laboratory (ABiL),"Chemical industries, Life sciences, pharmaceuticals and medical equipment","19 Division Street, Kingston, ON, K7L3N6, Canada",Queen's University,44.2286331,-76.49271279999999
"Advanced Digital Design, Manufacturing, and Metrology Laboratories (AD2MLabs)","Aerospace and satellites, Automotive, Manufacturing and processing, Transportation","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Advanced Facility for Avian Research (AFAR),"Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","1393 Western Road, London, ON, N6G 1G9, Canada",Western University (The University of Western Ontario),43.0105494,-81.27850769999999
Advanced Machine Shop (AMS),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre,43.7217772,-79.3759788
Advanced Manufacturing Lab (AML),"Aerospace and satellites, Automotive, Education, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","Thornburgh Building - Room 1009, Guelph, ON, N1G 2W1, Canada",University of Guelph,43.5292021,-80.2307372
Advanced Materials Research Facility,"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Energy, Information and communication technologies and media, Manufacturing and processing, Mining, minerals and metals, Transportation, Utilities","2620 Speakman Drive, Mississauga, ON, L5K 1B1, Canada",National Research Council Canada,43.5132132,-79.66437359999999
Advanced microscopic and spectroscopic facilities to study antimicrobial peptides,"Chemical industries, Education","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.38146159999999,-75.69917389999999
Advanced Microscopy and Materials Characterization Facility - GLIER,"Automotive, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","2990 Riverside Drive West, Winsdsor, ON, N9C 1A2, Canada",University of Windsor,42.3080393,-83.0740761
Advanced Networking Technology and Security (ANTS) Research Lab,"Defence and security industries, Information and communication technologies and media","40 Conlin Road, Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9477084,-78.8992069
