Lab Name,Sectors,Location,Institution
0.9 m Wind Tunnel,"Aerospace and satellites, Automotive, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
1.5 m Trisonic Wind Tunnel,"Aerospace and satellites, Defence and security industries, Manufacturing and processing","655 Levy Private, Ottawa, ON, K1V 2B1, Canada",National Research Council Canada
2 m x 3 m Wind Tunnel,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Energy, Environmental technologies and related services, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
3 m x 6 m Icing Wind Tunnel,"Aerospace and satellites, Automotive, Defence and security industries, Environmental technologies and related services, Management and business related services, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
3D Earth Imaging and Modelling Lab,"Energy, Environmental technologies and related services, Mining, minerals and metals","601 Booth Street, Ottawa, ON, K1A 0E8, Canada",Natural Resources Canada
7T Preclinical magnetic resonance imaging (MRI) Facility,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","2075 Bayview Ave., Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
9 m Wind Tunnel,"Aerospace and satellites, Automotive, Defence and security industries, Transportation","675 Levy Private, Ottawa, ON, K1V 2B1, Canada",National Research Council Canada
ACE – Climatic Wind Tunnel,"Aerospace and satellites, Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Defence and security industries, Energy, Environmental technologies and related services, Manufacturing and processing, Transportation, Utilities","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Acoustic Reverberation Chamber Research Facility,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Environmental technologies and related services, Manufacturing and processing, Mining, minerals and metals, Policy and governance, Transportation","1920 Research Private, Gloucester, ON, K1V 2B1, Canada",National Research Council Canada
Additive Manufacturing Innovation Centre (AMIC),"Aerospace and satellites, Automotive, Defence and security industries, Manufacturing and processing, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering)","135 Fennell Avenue West, Hamilton, ON, L9C 1E9, Canada",Mohawk College of Applied Arts and Technology
Advanced Biomaterials Laboratory (ABiL),"Chemical industries, Life sciences, pharmaceuticals and medical equipment","19 Division Street, Kingston, ON, K7L3N6, Canada",Queen's University
"Advanced Digital Design, Manufacturing, and Metrology Laboratories (AD2MLabs)","Aerospace and satellites, Automotive, Manufacturing and processing, Transportation","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Advanced Facility for Avian Research (AFAR),"Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","1393 Western Road, London, ON, N6G 1G9, Canada",Western University (The University of Western Ontario)
Advanced Machine Shop (AMS),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
Advanced Manufacturing Lab (AML),"Aerospace and satellites, Automotive, Education, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","Thornburgh Building - Room 1009, Guelph, ON, N1G 2W1, Canada",University of Guelph
Advanced Materials Research Facility,"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Energy, Information and communication technologies and media, Manufacturing and processing, Mining, minerals and metals, Transportation, Utilities","2620 Speakman Drive, Mississauga, ON, L5K 1B1, Canada",National Research Council Canada
Advanced microscopic and spectroscopic facilities to study antimicrobial peptides,"Chemical industries, Education","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Advanced Microscopy and Materials Characterization Facility - GLIER,"Automotive, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","2990 Riverside Drive West, Winsdsor, ON, N9C 1A2, Canada",University of Windsor
Advanced Networking Technology and Security (ANTS) Research Lab,"Defence and security industries, Information and communication technologies and media","40 Conlin Road, Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Advanced Real-Time Simulation Laboratory (ARSLab),"Aerospace and satellites, Agriculture, animal science and food, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Information and communication technologies and media, Management and business related services, Manufacturing and processing, Transportation","VSIM Building, 1125 Colonel By Dr., Ottawa, ON, K1S 5B6, Canada",Carleton University
Advanced Research Lab for Multifunctional Lightweight Structures (ARL-MLS),"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Manufacturing and processing","170 College St., Toronto, ON, M5S 3E3, Canada",University of Toronto
Aerosol and Radiation Research Laboratory,"Defence and security industries, Energy, Environmental technologies and related services, Utilities","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Aging Swallow Research Lab (ASRL),Healthcare and social services,"1280 Main Street West, Hamilton, ON, L8S 4M6, Canada",McMaster University
Air Plasma Spray System,"Aerospace and satellites, Clean technology, Education, Energy, Environmental technologies and related services, Manufacturing and processing, Mining, minerals and metals","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Alma Aquaculture Research Station,"Agriculture, animal science and food, Fisheries and aquaculture","6957 Eighth Line West, Elora, ON, N0B 1S0, Canada",University of Guelph
Altitude Icing Wind Tunnel,"Aerospace and satellites, Automotive, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Analytical Chemistry Laboratory - CanmetMINING,"Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada
Analytical Facility for Bioactive Molecules (AFBM),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","686 Bay Street, Toronto, ON, M5G 0A4, Canada",The Hospital for Sick Children
"Analytical Services Unit (ASU), School of Environmental Studies","Chemical industries, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals","116 Barrie Street, Kingston, ON, K7L 3N6, Canada",Queen's University
André E. Lalonde Accelerator Mass Spectrometry (AMS) Laboratory,"Agriculture, animal science and food, Arts and cultural industries, Defence and security industries, Energy, Environmental technologies and related services","25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Animal Behaviour and Physiology Core,"Education, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Animal Resources Centre,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network
Applied Dynamics Laboratory (ADL),"Construction (including building, civil engineering, specialty trades), Defence and security industries, Energy, Professional and technical services (including legal services, architecture, engineering), Transportation","1280 Main Street West, Hamilton, ON, L8S 4L8, Canada",McMaster University
Applied Law Enforcement Research and Training (ALERT) Laboratory,Healthcare and social services,"55 Bond Street, Oshawa, ON, L1G 1B9, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Applied Mineralogy - CanmetMINING,"Clean technology, Energy, Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada
Aquatic Omics Lab,"Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Tourism and hospitality, Utilities","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
ASD Studies @ Queen’s,Healthcare and social services,"62 Arch Street, Kingston, ON, K7L 3N6, Canada",Queen's University
Atmospheric Chemistry Instrumentation for Field Measurements,"Agriculture, animal science and food, Energy, Environmental technologies and related services, Forestry and forest-based industries","Lash Miller, 80 St George St, Toronto, ON, M5S 3H6, Canada",University of Toronto
Atmospheric Greenhouse Gas Measurement Laboratory,"Aerospace and satellites, Energy","60 St. George Street, Toronto, ON, M5S1J7, Canada",University of Toronto
Autonomous Vehicle and Electro-Hydraulic Control (AVEC) Lab,"Construction (including building, civil engineering, specialty trades), Information and communication technologies and media, Transportation","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Barz Lab,"Automotive, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","19 Division St., Kingston, ON, K7L 2N9, Canada",Queen's University
Battery Testing and Optimisation Facility,"Aerospace and satellites, Automotive, Clean technology, Consumer durables, Defence and security industries, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Transportation, Utilities","1200 Montreal Road, Ottawa, ON, K4A 3T7, Canada",National Research Council Canada
Beazely Lab at the School of Pharmacy,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","10 Victoria Street South, Kitchener, ON, N2G 1C5, Canada",University of Waterloo
Behavioural Acoustic Research Facility,"Agriculture, animal science and food","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Bio-Industrial Process Research Centre (BPRC),"Agriculture, animal science and food, Clean technology, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","1457 London Rd., Sarnia, ON, N7S 6K4, Canada",Lambton College
Bioinformatics and Comparative Genomics Lab,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","500 Glenridge Avenue, St. Catharines, ON, L2S 3A1, Canada",Brock University
Bioinformatics Core Facility,"Agriculture, animal science and food, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment, Ocean industries","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",University of Ottawa
Biointerfaces Institute,"Agriculture, animal science and food, Automotive, Chemical industries, Education, Environmental technologies and related services, Forestry and forest-based industries, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","Engineering Technology Building, Hamilton, ON, L8S 0A3, Canada",McMaster University
Biomarker Imaging Research Lab (BIRL),"Life sciences, pharmaceuticals and medical equipment","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
Biomedical Sensors and Signals Laboratory,"Agriculture, animal science and food, Defence and security industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","Canal Building 6107, 1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
